GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700013001016,G36004700013001023,0.0,0.069086139047
G36004700013001017,G36004700013001021,0.787897417882,0.787897417882
G36004700013001017,G36004700013001022,0.212102582118,0.212102582118
G36004700013002000,G36004700013002000,0.219800032782,0.219800032782
G36004700013002000,G36004700013002001,0.451401409605,0.451401409605
G36004700013002000,G36004700013002004,0.328798557614,0.328798557614
G36004700013002001,G36004700013002002,0.669187767182,0.669187767182
G36004700013002001,G36004700013002003,0.330812232818,0.330812232818
G36004700013002002,G36004700013002005,1.0,1.0
G36004700013002003,G36004700013002006,1.0,1.0
G36004700015001000,G36004700015011000,1.0,1.0
G36004700015001001,G36004700015011001,1.0,1.0
G36004700015001002,G36004700015011002,1.0,1.0
G36004700015001003,G36004700015011007,1.0,1.0
G36004700015001004,G36004700015011003,1.0,1.0
G36004700015001005,G36004700015011004,1.0,0.991500135636
G36004700015001005,G36004700015012001,0.0,0.001356361335
G36004700015001005,G36004700015012002,0.0,0.007143503029
G36004700015001006,G36004700015011005,0.0,0.139970990468
G36004700015001006,G36004700015011010,1.0,0.860029009532
G36004700015001007,G36004700015011006,0.0,0.194027244149
G36004700015001007,G36004700015011011,1.0,0.805972755851
G36004700015001008,G36004700015011007,0.033863368669,0.033863368669
G36004700015001008,G36004700015011008,0.174813506086,0.174813506086
G36004700015001008,G36004700015011009,0.791323125245,0.791323125245
G36004700015002000,G36004700015012000,1.0,1.0
G36004700015002001,G36004700015012001,0.114650151147,0.114650151147
G36004700015002001,G36004700015012002,0.885349848853,0.885349848853
G36004700015002002,G36004700015012001,0.05476540788,0.05476540788
G36004700015002002,G36004700015012002,0.045610593428,0.045610593428
G36004700015002002,G36004700015012003,0.899623998692,0.899623998692
G36004700015002003,G36004700015012004,1.0,1.0
G36004700015002004,G36004700015012005,1.0,1.0
G36004700015002005,G36004700015012005,1.0,1.0
G36004700015002006,G36004700015012006,1.0,1.0
G36004700015002007,G36004700015012009,1.0,1.0
G36004700015002008,G36004700015012005,1.0,1.0
