GEOID10,GEOID20,WEIGHT,PAREA
360470021002014,360470021002029,1.0,0.920377867746
360470021002015,360470021002011,0.0,0.659810126582
360470021002015,360470021002029,1.0,0.340189873418
360470021002016,360470021002012,0.0,0.858490566038
360470021002016,360470021002019,1.0,0.141509433962
360470021002017,360470021002012,0.0,0.055822608156
360470021002017,360470021002019,1.0,0.944177391844
360470021002018,360470021002018,1.0,1.0
360470021002019,360470021002017,1.0,1.0
360470021002020,360470021002011,0.23611805903,0.23611805903
360470021002020,360470021002028,0.76388194097,0.76388194097
360470021002021,360470021002012,0.809782608696,0.809782608696
360470021002021,360470021002020,0.190217391304,0.190217391304
360470021002022,360470021002012,0.0,0.81146025878
360470021002022,360470021002019,1.0,0.18853974122
360470021002023,360470021002011,0.06862745098,0.06862745098
360470021002023,360470021002027,0.793504901961,0.793504901961
360470021002023,360470021002028,0.137867647059,0.137867647059
360470021002024,360470021002022,0.068695895001,0.068695895001
360470021002024,360470021002025,0.697012007819,0.697012007819
360470021002024,360470021002026,0.23429209718,0.23429209718
360470021002025,360470021002012,0.195890410959,0.195890410959
360470021002025,360470021002020,0.804109589041,0.804109589041
360470021002026,360470021002020,1.0,1.0
360470021002027,360470021002021,1.0,1.0
360470021002028,360470021002021,0.023691746941,0.023691746941
360470021002028,360470021002022,0.105180942463,0.105180942463
360470021002028,360470021002023,0.871127310596,0.871127310596
360470021002029,360470021002022,0.115126484254,0.115126484254
360470021002029,360470021002024,0.884873515746,0.884873515746
360470021003000,360470021003000,1.0,1.0
360470021003001,360470021003000,1.0,1.0
360470021003002,360470021003000,1.0,1.0
360470021003003,360470021003000,1.0,1.0
360470021003004,360470021003000,1.0,1.0
360470021003005,360470021003004,1.0,1.0
360470021003006,360470021003003,1.0,1.0
360470021003007,360470021003002,1.0,1.0
360470021003008,360470021003001,1.0,1.0
360470021003009,360470021003008,1.0,1.0
360470021003010,360470021003007,1.0,1.0
360470021003011,360470021003006,1.0,1.0
360470021003012,360470021003005,1.0,1.0
360470021003013,360470021003012,1.0,1.0
360470021003014,360470021003011,1.0,1.0
360470021003015,360470021003010,1.0,1.0
360470021003016,360470021003009,1.0,1.0
360470021003017,360470021003015,1.0,1.0
360470021003018,360470021003014,1.0,1.0
360470021003019,360470021003013,1.0,1.0
360470021003020,360470021003016,1.0,1.0
360470021003021,360470021003017,0.333955223881,0.333955223881
360470021003021,360470021003018,0.666044776119,0.666044776119
360470022001000,360470022001000,1.0,1.0
360470022001001,360470022001001,1.0,1.0
360470022001002,360470022001002,1.0,1.0
360470022001003,360470022001003,1.0,1.0
360470022001004,360470022001004,1.0,1.0
360470022001005,360470022001005,1.0,1.0
