"GEOID","pop_asian_2010","pop_asian_2020"
"360470171002",28,29
"360470171003",60,61
"360470171004",77,76
"360470172001",653,894
"360470172002",353,624
"360470174000",0,0
"360470174001",256,421
"360470174002",230,305
"360470175001",0,2
"360470176000",0,0
"360470176001",266,433
"360470176002",378,480
"360470177001",0,0
"360470178001",481,508
"360470178002",649,830
"360470179001",13,52
"360470179002",108,173
"360470179003",47,70
"360470180001",561,616
"360470180002",489,704
"360470181001",49,97
"360470181002",43,68
"360470181003",82,75
"360470181004",69,100
"360470182001",466,743
"360470182002",1139,1462
"360470183001",76,69
"360470183002",50,46
"360470183003",31,47
"360470184001",512,838
"360470184002",203,527
"360470185011",39,56
"360470185012",88,195
"360470185013",38,160
"360470185014",40,86
"360470186001",577,846
"360470186002",285,370
"360470187001",81,102
"360470188001",289,449
"360470188002",532,796
"360470190001",787,729
"360470190002",595,664
"360470190003",476,704
"360470191001",33,235
"360470191002",44.7307692307692,127
"360470191003",29.2692307692308,49
"360470192001",111.325988334413,76
"360470192002",188.371326555741,307
"360470192003",479.327095199349,812
"360470192004",9.97558991049634,1
"360470193001",169.60618556701,534
"360470193002",77.3938144329897,100
"360470193003",211,249
"360470193004",23,92
"360470194001",839,914
"360470194002",471,487
"360470194003",348,598
"360470195001",23,58
"360470195002",80,66
"360470195003",59,69
"360470195004",27,47
"360470196001",587,816
"360470196002",420,567
"360470196003",492,682
"360470197001",48,31
"360470197002",43,49
"360470197003",58,106
"360470197004",44,68
"360470198001",88,244
"360470198002",187,526
"360470199001",17,44
"360470199002",19,50
"360470199003",28,195
"360470199004",53,61
"360470200001",333,583
"360470200002",154,356
"360470201001",23,30
"360470201002",39,96
"360470201003",50,67
"360470201004",39,35
"360470202001",266,517
"360470202002",97,288
"360470203001",99,171
"360470203002",84,99
"360470204001",113,450
"360470204002",75,284
"360470205001",79,115
"360470205002",61,113
"360470205003",42,84
"360470206001",208,489
"360470206002",81,369
"360470207001",94,112
"360470207002",99,155
"360470207003",58,99
"360470208001",481,611
"360470208002",296,735
"360470208003",513,821
"360470210001",620,1019
"360470210002",742,1023
"360470210003",495,621
"360470211001",5,40
"360470211002",34,181
"360470211003",27,29
"360470212001",1256,1384
"360470212002",832,1016
"360470212003",766,1107
"360470213001",16,51
"360470213002",16,39
"360470213003",20,42
"360470214001",8.24390243902439,6
"360470214002",161,367
"360470214003",615.756097560976,815
"360470215001",72,73
"360470215002",42,42
"360470215003",78,75
"360470215004",99,169
"360470216001",60,49
"360470216002",18,28
"360470216003",391,586
"360470217001",166,210
"360470217002",60,151
"360470218001",29,34
"360470218002",9,32
"360470218003",120,194
"360470219001",23,46
"360470219002",63,151
"360470219003",43,104
"360470220001",45,106
"360470220002",45,66
"360470220003",140,113
"360470220004",37,65
"360470221001",45,101
"360470221002",43,79
"360470221003",14,43
"360470222001",2,54
"360470222002",62,27
"360470222003",72,103
"360470224001",59,22
"360470224002",147,177
"360470224003",234,284
"360470224004",161,116
"360470226001",183,194
"360470226002",307,244
"360470227001",48,74
"360470227002",73,101
"360470227003",12.4702760084926,65
"360470227004",13.5297239915074,104
"360470228001",733,756
"360470228002",80,106
"360470228003",101,72
"360470229001",15,70
"360470229002",27,41
"360470229003",18,56
"360470229004",63,97
"360470230001",144,241
"360470230002",21,39
"360470230003",86,72
"360470231001",64,75
"360470231002",48,158
"360470231003",27,44
"360470232001",0,11
"360470232002",17,43
"360470232003",61,85
"360470232004",56,46
"360470232005",248,308
"360470233001",57,163
"360470233002",28.174525047595,111
"360470233003",26.825474952405,148
"360470234001",0,8
"360470234002",7,45
"360470234003",3,24
"360470235001",158,228
"360470235002",23,136
"360470236001",12,5
"360470236002",220,211
"360470236003",2,18
"360470236004",7,45
"360470238001",0,11
"360470238002",20,74
"360470238003",4,29
"360470240001",24,87
"360470240002",24,23
"360470240003",9,26
"360470241001",50,126
"360470241002",22,132
"360470242001",82,51
"360470242002",78,65
"360470243001",26,94
"360470243002",36,44
"360470243003",42,84
"360470244001",183,219
"360470244002",59,59
"360470244003",123,152
"360470245001",11,68
"360470245002",126,148
"360470245003",16,66
"360470245004",86,147
"360470246001",179,257
"360470246002",469,560
"360470246003",225,225
"360470247001",60,98
"360470247002",128,153
"360470248001",613,509
"360470248002",439,481
"360470249001",5,66
"360470249002",12,43
"360470249003",30,47
"360470249004",31,15
"360470250001",519,581
"360470250002",553,598
"360470251001",13,87
"360470251002",100,100
"360470251003",30,50
"360470252001",280,340
"360470252002",410,558
"360470252003",663,789
"360470252004",438,654
"360470253001",29,102
"360470253002",25,55
"360470253003",39,64
"360470254001",485,556
"360470254002",611,726
"360470254003",717,732
"360470255001",52,68
"360470255002",25,26
"360470256001",829,937
"360470256002",785,979
"360470257001",29,69
"360470257002",4,14
"360470257003",48,62
"360470258001",475,689
"360470258002",699,908
"360470258003",401,566
"360470259011",40,93
"360470259021",33,73
"360470260001",487,602
"360470260002",525,487
"360470260003",740,772
"360470261001",7,70
"360470261002",7,97
"360470261003",13,38
"360470261004",26,70
"360470261005",25,100
"360470262001",599,767
"360470262002",488.999999999899,789
"360470263001",26,76
"360470264001",290,399
"360470264002",360,557
"360470264003",574,675
"360470264004",361,589
"360470265001",11,49
"360470265002",19,45
"360470265003",19,45
"360470265004",23,31
"360470266001",443,695
"360470266002",559,758
"360470266003",461,618
"360470267001",20,47
"360470267002",15,64
"360470267003",10,33
"360470267004",9,70
"360470268001",356,564
"360470268002",272,482
"360470268003",321,546
"360470268004",288,269
"360470269001",24,58
"360470269002",29,57
"360470269003",24,111
"360470270001",378,630
