"GEOID","pop_2010_asian","pop_2010_total","pop_2020_asian","pop_2020_total"
"360470183002",50,732,46,874
"360470183003",31,672,47,702
"360470184001",512,1026,838,1231
"360470184002",203,976,527,1229
"360470185011",39,692,56,711
"360470185012",88,1209,195,1599
"360470185013",38,1044,160,1264
"360470185014",40,882,86,887
"360470186001",577,1088,846,1277
"360470186002",285,1036,370,1087
"360470187001",81,1411,102,1336
"360470188001",289,1173,449,1289
"360470188002",532,1467,796,1666
"360470190001",787,1719,729,1692
"360470190002",595,1548,664,1549
"360470190003",476,1515,704,1612
"360470191001",33,735,235,1468
"360470191002",44.7307692307692,836,127,1150
"360470191003",29.2692307692308,761,49,809
"360470192001",111.325988334413,976,76,1119
"360470192002",188.371326555741,815,307,1137
"360470192003",479.327095199349,961,812,1211
"360470192004",9.97558991049634,20,1,74
"360470193001",169.60618556701,1795,534,2567
"360470193002",77.3938144329897,1224,100,1050
"360470193003",211,852,249,680
"360470193004",23,1757,92,1982
"360470194001",839,1470,914,1518
"360470194002",471,953,487,918
"360470194003",348,882,598,1134
"360470195001",23,643,58,821
"360470195002",80,795,66,912
"360470195003",59,1231,69,1245
"360470195004",27,697,47,706
"360470196001",587,1584,816,1698
"360470196002",420,1382,567,1380
"360470196003",492,1387,682,1613
"360470197001",48,391,31,417
"360470197002",43,837,49,924
"360470197003",58,1154,106,1279
"360470197004",44,931,68,965
"360470198001",88,707,244,796
"360470198002",187,995,526,1265
"360470199001",17,566,44,619
"360470199002",19,707,50,747
"360470199003",28,518,195,1525
"360470199004",53,1138,61,1087
"360470200001",333,1223,583,1316
"360470200002",154,1042,356,1126
"360470201001",23,662,30,802
"360470201002",39,858,96,1096
"360470201003",50,995,67,987
"360470201004",39,906,35,977
"360470202001",266,941,517,1101
"360470202002",97,933,288,1046
"360470203001",99,884,171,1219
"360470203002",84,813,99,913
"360470204001",113,836,450,1034
"360470204002",75,872,284,1006
"360470205001",79,564,115,901
"360470205002",61,935,113,1372
"360470205003",42,970,84,1132
"360470206001",208,1161,489,1317
"360470206002",81,1059,369,1188
"360470207001",94,1905,112,1998
"360470207002",99,1307,155,1602
"360470207003",58,1098,99,1271
"360470208001",481,847,611,1008
"360470208002",296,1032,735,1391
"360470208003",513,1169,821,1383
"360470210001",620,1295,1019,1588
"360470210002",742,1419,1023,1524
"360470210003",495,1254,621,1376
"360470211001",5,523,40,546
"360470211002",34,687,181,1560
"360470211003",27,320,29,399
"360470212001",1256,1995,1384,2126
"360470212002",832,1397,1016,1573
"360470212003",766,1251,1107,1579
"360470213001",16,971,51,864
"360470213002",16,2072,39,1933
"360470213003",20,1162,42,1083
"360470214001",8.24390243902439,13,6,28
"360470214002",161,1168,367,1291
"360470214003",615.756097560976,971,815,1183
"360470215001",72,640,73,870
"360470215002",42,962,42,963
"360470215003",78,1517,75,1480
"360470215004",99,2188,169,2256
"360470216001",60,1246,49,1389
"360470216002",18,1216,28,1141
"360470216003",391,1553,586,1750
"360470217001",166,1583,210,1726
"360470217002",60,2014,151,2625
"360470218001",29,1297,34,1486
"360470218002",9,1247,32,1371
"360470218003",120,1217,194,1334
"360470219001",23,1085,46,1096
"360470219002",63,1140,151,1447
"360470219003",43,1370,104,1682
"360470220001",45,1280,106,1788
"360470220002",45,1084,66,1244
"360470220003",140,1233,113,1253
"360470220004",37,1342,65,1375
"360470221001",45,1630,101,1577
"360470221002",43,1223,79,1415
"360470221003",14,756,43,905
"360470222001",2,1503,54,2043
