"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1000000US360470031011002","Block 1002, Block Group 1, Census Tract 31.01, Kings County, New York","350","315","163","37","0","109","0","6","35","34","12","3","3","1","11","0","1","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470031012000","Block 2000, Block Group 2, Census Tract 31.01, Kings County, New York","229","192","86","34","1","33","0","38","37","36","2","0","4","0","1","0","0","1","1","0","0","0","27","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470031012001","Block 2001, Block Group 2, Census Tract 31.01, Kings County, New York","18","8","0","3","1","4","0","0","10","10","3","0","0","0","1","0","1","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470031013000","Block 3000, Block Group 3, Census Tract 31.01, Kings County, New York","32","25","8","3","2","7","1","4","7","6","0","0","1","0","0","0","2","0","0","0","0","0","3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470031021000","Block 1000, Block Group 1, Census Tract 31.02, Kings County, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033001000","Block 1000, Block Group 1, Census Tract 33, Kings County, New York","537","483","374","45","1","47","0","16","54","42","1","2","19","0","12","0","0","0","6","0","0","1","0","1","0","9","0","0","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033001001","Block 1001, Block Group 1, Census Tract 33, Kings County, New York","300","260","173","41","0","27","0","19","40","40","9","1","12","0","12","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002000","Block 2000, Block Group 2, Census Tract 33, Kings County, New York","544","486","240","170","1","40","0","35","58","57","7","0","2","3","25","0","4","0","16","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002001","Block 2001, Block Group 2, Census Tract 33, Kings County, New York","350","296","173","66","0","29","3","25","54","44","11","2","3","0","19","0","3","0","1","0","0","5","0","0","0","10","1","4","0","1","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002002","Block 2002, Block Group 2, Census Tract 33, Kings County, New York","360","295","190","22","2","71","0","10","65","60","8","0","25","0","20","4","3","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002003","Block 2003, Block Group 2, Census Tract 33, Kings County, New York","582","516","271","102","7","115","0","21","66","62","6","5","14","0","27","4","1","0","2","0","0","0","3","0","0","4","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002004","Block 2004, Block Group 2, Census Tract 33, Kings County, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002005","Block 2005, Block Group 2, Census Tract 33, Kings County, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002006","Block 2006, Block Group 2, Census Tract 33, Kings County, New York","36","30","3","23","0","0","1","3","6","4","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002007","Block 2007, Block Group 2, Census Tract 33, Kings County, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US360470033002008","Block 2008, Block Group 2, Census Tract 33, Kings County, New York","1219","1079","552","259","3","211","0","54","140","133","15","6","23","1","50","0","1","0","37","0","0","0","0","0","0","6","0","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
