temp,temp_past,tree,income,builtfar
87.953,81.09,0,64931,0.78
88.009,81.353,0,113122,0.74
88.054,80.834,0,54688,0.7
88.034,81.015,0,54688,0.79
88.254,80.766,0,67115,0.46
87.504,80.425,0,67115,0.45
85.812,79.348,0.019,67115,0.345
88.372,79.755,0.005,130667,0.44
88.363,80.509,0,130667,0.47
87.808,79.414,0.005,130667,0.43
88.268,80.212,0,130667,0.44
88.201,80.035,0,54286,0.44
86.068,79.868,0.013,102708,0.4
86.286,80.094,0.002,102708,0.48
84.518,79.325,0.026,76693,0.39
85.188,80.185,0.001,78393,0.47
85.175,79.186,0.012,98056,0.35
84.706,79.774,0.037,98056,0.53
85.709,81.299,0,72756,0.24
84.806,78.882,0,84219,0.62
84.663,77.176,0.005,62019,0.53
86.487,79.314,0.02,80893,0.57
86.134,79.777,0.003,101174,0.59
84.854,78.335,0.02,70125,0.45
85.312,79.726,0.008,70125,0.45
81.618,76.794,0.077,57500,0.325
86.25,79.656,0.031,70125,0.33
84.332,79.292,,91136,
86.053,78.663,0.018,97824,0.545
86.291,78.826,0.018,97824,0.655
86.383,78.408,0.079,97824,0.42
87.437,78.701,0.056,133600,0.295
86.547,77.766,0.063,97824,0.325
86.755,78.032,0.054,92778,0.32
85.877,78.838,,93688,
86.363,77.781,0.069,92778,0.32
88.119,79.928,0.03,67917,
86.15,78.123,0.085,92778,0.29
87.979,80.664,0.059,74125,0.28
84.763,77.937,0.049,74125,0.325
86.583,78.641,0.176,74125,
87.872,79.252,0.032,141406,0.355
86.071,78.872,0.22,74125,
85.714,78.773,0.077,106250,0.36
86.445,78.59,0.12,141406,0.28
86.469,78.985,0.074,141406,0.31
86.536,78.874,0.069,133600,0.26
87.041,78.358,0.103,92778,0.325
86.107,78.585,0.068,133600,0.3
85.835,78.734,0.056,92778,0.23
86.069,78.693,0.092,92778,0.31
85.974,78.024,0.065,92778,0.38
85.867,78.273,0.055,92778,0.325
85.98,78.312,0.06,133600,0.26
86.18,78.268,0.039,133600,0.5
83.768,75.435,0.022,102008,0.29
86.418,79.841,,92443,
86.148,78.702,,93688,
86.429,78.459,,93688,
86.87,80.016,,93688,
85.856,79.161,0.037,91146,0.475
86.218,78.107,0.053,91146,0.55
86.143,79.054,0.029,91146,0.48
86.544,80.537,,93688,
86.625,78.765,0.026,67917,0.465
86.507,79.946,,93688,
86.667,79.431,0.023,67917,0.365
86.29,78.568,0.071,91146,0.345
86.682,79.021,0.001,91146,0.5
84.408,79.563,,77978,
85.475,79.471,,101875,
85.132,79.972,,108065,
83.215,75.269,0.001,100109,0.5
86.993,79.056,0,66408,0.455
87.071,78.94,0.017,66408,0.44
87.088,80.49,0.006,71000,0.39
89.044,81.571,0.01,71000,0.53
90.902,83.671,0.002,75391,0.57
88.349,82.888,0,83571,0.54
87.258,81.199,0,83571,0.5
87.436,81.574,0,83571,0.53
86.324,81.397,0.004,83571,0.7
86.669,79.33,0.04,81429,0.47
86.231,81.283,0,83571,0.78
87.213,80.26,0,81429,0.54
86.895,80.545,0.002,75391,0.58
85.946,77.165,0.055,75391,0.515
83.924,75.996,0.016,100109,0.32
86.811,83.064,0,83571,0.87
85.575,80.936,0.038,71250,0.72
86.26,80.764,0.018,71250,0.63
87.065,82.95,0,75391,0.48
86.706,81.345,0.011,113661,1
88.274,80.916,0.028,100774,0.44
88.279,79.59,0.106,100774,0.39
87.681,80.278,0.004,62232,0.46
88.471,80.629,0.001,62232,0.47
88.626,81.13,0,86111,0.61
88.285,80.674,0,86111,0.5
87.16,79.856,0,62232,0.52
86.577,79.395,0.049,103485,0.46
87.55,80.105,0,62232,0.51
87.617,80.161,0,62232,0.52
83.569,78.7,0.021,66081,0.62
83.183,77.22,0.033,110781,0.3
82.857,78.636,,91458,
82.811,78.789,,132933,
83.054,78.93,,132933,
80.938,77.235,,132933,
82.256,77.776,,77031,
86.842,82.143,,77031,
84.449,79.795,,77031,
84.424,79.799,,77031,
84.114,78.655,0.005,66081,0.295
85.249,81.126,0,85203,
84.866,80.397,0,196100,1.38
84.212,79.041,0.031,66081,0.295
83.942,77.541,0.035,74598,0.38
83.918,77.443,0.012,74598,0.42
82.837,75.716,0.133,90250,0.425
83.486,76.489,0.053,90250,0.55
82.671,77.093,0.2,74598,0.425
83.513,77.318,0.046,74598,0.42
83.03,77.448,0.044,90250,0.48
83.351,79.441,0.003,107303,1.2
80.83,76.667,0.069,95086,0.25
86.027,79.225,0.018,45068,1.74
79.661,74.016,0.524,102031,
81.824,76.44,0.206,94911,0.25
81.093,75.34,0.057,90250,0.39
84.598,79.317,0.013,117813,0.52
84.538,78.264,0.03,117813,0.6
83.938,78.047,0.019,139167,0.575
82.78,77.492,0.114,139167,0.43
83.539,78.221,0.022,139167,0.57
83.251,77.941,0.063,139167,0.42
80.453,75.457,0.278,94911,
83.069,77.034,0.053,139167,0.42
83.47,77.043,0.077,116641,0.415
84.005,77.527,0.026,90132,0.51
83.435,76.759,0.082,90132,0.71
83.844,81.828,,56285,
83.889,79.536,,51884,
85.237,81.15,,64263,
84.972,78.009,0.05,47419,1.155
85.024,78.715,0.007,76648,1.09
84.819,78.264,0.069,47419,0.9
85.853,81.196,0.007,57405,0.93
86.858,84.978,0,57405,0.67
90.187,84.373,,63587,
88.225,85.974,,63587,
87.25,83.826,,63587,
87.074,83.531,,63587,
84.272,81.456,,63587,
86.901,84.036,0,86989,0.87
87.556,85.47,,84306,
86.115,84.543,,84306,
87.99,85.428,,84306,
85.395,80.853,0,86989,0.835
86.323,81.509,0,86989,1
86.557,85.713,0,86989,0.83
83.64,78.143,0.026,67126,
85.199,79.683,0,75917,
85.74,79.987,0,75917,0.53
82.478,77.99,0.069,60529,0.64
83.269,79.129,0.005,60529,0.61
82.816,77.869,0.047,81556,0
82.193,77.87,0.005,60529,0.61
83.314,75.821,0.002,47250,0.75
88.06,81.423,0,60721,1.16
87.057,80.089,0,60721,0.83
87.631,80.416,0,53611,0.7
87.917,80.995,0,75677,0.63
76.981,72.811,0.061,51692,
85.167,80.271,0,51692,1.24
84.052,79.059,0.16,60781,0.675
86.551,80.184,0.007,78529,0.65
84.355,77.661,0.037,68286,0.67
86.642,80.153,0.004,78529,0.68
86.584,80.138,0.001,52120,0.58
86.069,81.259,0.007,52120,0.8
85.627,81.784,0,52120,1.04
85.276,81.069,0,64922,0.65
85.018,81.633,0,64922,0.97
85.895,82.679,0,52120,1.42
87.454,82.027,0,57596,0.84
86.486,82.618,0,57596,1.09
85.586,80.895,0,64922,0.69
84.3,81.657,0,64922,1.02
86.486,80.246,0.012,93264,0.615
86.347,80.169,0,93264,0.6
85.085,77.38,0.048,81250,0.51
84.363,75.711,0.044,41720,0.58
84.553,79.024,0.026,60781,0.7
85.194,79.922,0,60781,0.835
85.972,82.286,0,74460,0.92
81.208,81.396,0,81250,1.21
80.898,81.294,,81250,
81.081,81.246,0,81250,1.4
81.276,81.081,0,101971,1.03
81.789,80.395,0,102031,
82.162,80.673,0,102031,
82.018,80.714,,102031,
79.699,81.347,0,86150,1.34
79.767,82.489,0,77361,1.2
81.944,82.669,0,102354,1.12
81.174,81.649,0,101964,1.18
82.028,81.222,0,109609,1.37
81.626,80.888,0,109609,1.37
81.708,81.184,0,152632,0.83
81.154,81.875,0,101964,0.99
81.8,82.237,0,94500,0.975
81.752,79.879,0,89167,0.7
82.043,81.666,0,95760,1.03
81.756,81.103,0,95760,0.83
81.383,73.834,0.318,131125,0.495
83.147,75.93,0.113,131125,0.63
83.533,78.038,0.011,104453,1.02
80.385,74.189,0.169,205417,0.69
81.694,74.701,0.135,131125,0.77
80.939,73.989,0.143,205417,0.625
80.971,73.98,0.048,86848,1.305
80.608,74.151,0.097,205417,0.93
81.362,74.562,0.132,205417,0.72
80.907,74.02,0.157,205417,0.62
83.164,76.641,0.164,168542,0.65
83.036,78.009,0.021,86875,0.47
81.883,75.993,0.151,168542,0.6
84.301,77.902,0.015,86875,0.49
82.739,77.693,0.04,86875,0.49
83.354,78.692,0.154,84015,0.085
84.388,75.754,0.143,136375,0.38
85.008,76.232,0.1,136375,0.365
86.075,77.61,0.02,136375,0.53
84.714,75.993,0.144,136375,0.43
86.247,76.658,0.016,136375,0.475
78.894,74.124,0.185,109375,0.325
84.758,77.863,0.185,77818,1.685
84.7,76.256,0.234,63468,0.43
79.117,71.662,0.524,178750,0.39
84.925,79.083,0,86500,3.6
86.005,80.408,0,107639,4.58
84.048,77.441,,53563,
88.01,80.67,0,77818,1.91
85.04,80.076,0.001,80250,0.74
82.446,77.476,0.08,91579,
82.666,76.361,0.164,128810,1.845
80.076,72.922,0.177,205417,0.78
79.607,72.06,0.294,178750,0.43
80.562,73.199,0.169,178750,0.74
79.349,72.313,0.421,178750,0.44
79.552,71.979,,99875,
82.296,83.117,0,53667,0.92
82.966,84.933,0,56029,0.94
85.441,85.453,0,53667,3.26
79.517,77.45,0.085,28564,1.51
79.633,78.059,0.051,28564,1.19
82.858,82.801,0,53667,0.52
80.644,77.187,0.036,100069,0.67
83.598,82.534,0,106176,1.16
85.958,82.249,0,106176,0.81
82.846,80.279,0.002,53667,1.04
80.406,76.029,0.121,66108,1.25
80.574,80.042,0.008,86429,0.975
86.713,83.079,,41484,
85.438,82.37,0,89286,1.35
85.784,77.168,0.029,92625,0.525
87.31,79.291,0.025,111597,0.495
88.199,80.899,0,111597,0.375
80.754,83.282,0,79167,2.04
79.767,83.019,0,79167,2.04
82.639,84.765,0,68804,2.04
80.287,83.131,0,79861,2.06
79.098,82.328,0,88750,2.04
83.153,79.409,0.108,75172,0.47
82.521,78.702,0.09,75172,0.49
81.906,77.709,0.069,75172,0.42
83.56,78.493,0.019,74323,0.41
80.899,76.437,0.162,74323,
80.126,75.898,0.055,75172,0.465
82.036,77.856,0.023,102000,0.35
83.176,78.697,0.06,74323,0.43
80.876,76.378,0.144,76219,0.875
81.823,77.129,0.111,76219,0.86
82.078,78.302,0.208,76219,
82.346,77.894,0.032,83214,0.36
82.538,78.622,0.036,102000,0.45
83.166,78.934,0.009,83214,0.41
83.362,78.888,0.005,83214,0.45
82.12,78.359,0.022,76219,0.4
82.133,77.728,0.167,76219,0.455
83.106,78.267,0.012,83214,0.475
82.459,78.36,0.021,76219,0.4
83.341,79.019,0.032,76219,0.43
83.982,79.407,0.026,76219,0.45
82.22,78.189,0.018,102000,0.27
81.958,77.948,0.068,80909,0.4
82.935,78.863,0.046,80909,0.345
83.602,79.315,0,83214,0.475
83.806,79.141,0.013,83214,0.475
84.568,78.825,0.046,43585,0.44
83.597,78.18,0.067,43585,0.3
84.399,79.595,0.016,37123,0.29
85.05,80.582,,80909,
84.392,80.933,0.008,80909,0.53
84.613,80.226,0.062,37123,
84.455,80.231,0.018,37123,0.58
83.488,78.077,0.064,43585,0.475
82.882,77.659,0.049,43585,0.39
83.682,78.759,0.051,43585,0.42
84.571,79.434,0.016,43585,0.6
83.67,78.388,0.057,43585,0.62
85.023,79.906,0.015,71250,0.45
84.961,79.404,0.085,71250,0.44
84.862,79.324,0.053,71250,0.57
85.462,79.706,0.004,71250,0.475
85.053,79.561,0.003,37123,0.6
84.65,80.155,0.002,37123,1.13
84.754,79.799,0.057,37123,0.5
84.971,79.664,0.001,71250,0.53
85.233,79.008,0.012,71250,0.595
84.78,78.77,0.021,71250,0.52
82.412,79.125,0.083,85769,0.38
82.152,78.872,0.084,67303,0.645
82.179,79.384,0.012,67303,0.94
82.826,79.088,0.032,67303,0.72
83.807,79.557,0.012,67303,0.6
82.946,79.175,0.018,67228,0.65
83.1,83.429,0,44151,1
83.408,83.853,0,58271,0.94
83.539,82.772,0,58271,0.62
83.789,83.219,0,44151,0.97
83.326,80.134,0,42583,0.7
83.537,80.993,0.003,67303,0.775
83.143,82.418,0,58271,0.82
83.227,83.703,0,58271,0.86
83.138,81.988,0.012,42583,0.73
84.355,83.377,0,57188,1.715
84.687,84.499,,39141,
83.541,84.239,,46617,
84.23,83.225,,58550,
84.342,84.703,,66941,
85.313,83.222,,34469,
85.214,85.762,0,53495,1.89
83.552,84.421,0,53495,0.79
82.683,81.783,,87901,
84.259,84.33,,58550,
84.182,82.155,,87901,
84.278,84.853,,56941,
83.388,83.298,,113661,
86.555,80.241,0,52571,0.385
85.22,79.727,0,83818,1.405
86.815,79.483,0,233444,0.53
84.292,79.602,0.014,99219,0.61
84.098,77.469,0.061,99219,0.745
84.062,78.229,,98611,
84.21,78.545,0,53542,0.86
84.312,78.092,,99219,
85.302,78.723,0,99688,0.585
84.506,78.731,0,99688,0.755
85.095,81.805,,66744,
84.544,78.557,0.019,53542,0.65
84.911,78.582,,99219,
84.977,78.983,0,99688,0.905
84.274,78.698,0.017,99688,0.795
85.753,79.165,0.007,53542,0.675
86.061,83.907,0,82697,1.45
85.649,83.917,0,54294,1.03
85.525,83.671,0,73750,0.87
86.48,84.005,0,54294,0.99
86.643,84.318,0,54294,1.36
85.798,83.109,0,42431,0.645
88.172,85.138,0,82697,1.98
86.195,83.937,0,48906,1.58
85.39,82.495,0,48906,1.2
86.17,84.637,0,48906,2.57
81.85,78.856,,77368,
82.339,79.632,,61078,
82.75,78.687,,61078,
84.198,81.439,,61078,
85.596,82.672,0,48906,1.48
84.809,81.933,0,70852,1.72
85.322,83.457,0,62167,0.68
82.673,80.956,0.008,62167,0.66
83.146,80.82,,64811,
79.866,79.909,0,64811,1.77
79.924,80.146,0.017,70714,1.08
80.331,79.938,0.004,41875,1.04
82.411,78.623,0,60905,3.435
80.328,76.032,0.001,97417,3.02
79.453,75.334,0.031,97417,1.95
79.662,76.128,0.045,188173,1.9
81.387,79.944,0,63824,2.67
83.996,81.876,,61914,
85.327,82.989,0,41729,0.84
83.542,82.113,,136116,
82.935,76.789,0.116,152949,0.68
83.859,82.883,0.006,62167,1
82.436,81.329,0,62167,0.925
84.872,79.395,0,53217,1.04
82.336,82.508,0.031,72545,0.89
82.406,83.633,0,82697,3.88
81.546,82.806,0,82697,2.87
83.114,80.86,0,73750,3.795
80.949,79.589,0.003,59868,2.22
79.053,78.598,0,59868,2.18
83.011,79.796,0,65705,0.78
83.174,82.215,,52921,
84.081,83.153,,61914,
85.124,82.551,0,41729,0.96
86.869,81.297,,150729,
84.806,79.257,0.024,121538,
86.004,85.024,0,86583,0.72
91.124,85.891,0,77019,0
90.532,86.854,0,77019,0.47
87.131,82.726,0,77019,0
90.678,85.75,0,77019,0.99
90.051,86.417,0,77019,1
87.748,81.235,,150729,
84.826,80.887,0.049,74271,
88.568,81.533,,163125,
87.626,81.697,,150729,
85.298,80.512,,150729,
88.555,81.65,,150729,
85.879,80.271,0,41563,
87.908,81.673,,150729,
87.898,82.19,,150729,
83.2,79.495,0,70976,0.88
88.263,79.724,0,109911,0.54
86.316,78.638,0.028,47105,1.04
83.751,77.661,0.058,67143,0.38
83.924,77.086,0.013,74000,0.44
85.911,79.78,0,56625,0.45
82.28,81.508,0,27458,0.75
80.453,78.813,0,51097,0.85
82.674,81.667,0,27458,0.73
83.622,77.652,0.012,71029,2.89
84.319,79.591,0,53466,3.44
81.701,76.758,0.194,102031,0.37
79.754,74.506,0.175,121827,0.3
82.621,77.064,0.163,94911,0.5
82.826,77.42,0.121,74598,0.36
88.089,79.06,,51884,
84.938,78.451,0,76648,1.045
84.354,80.588,0,52500,1.11
86.877,82.852,0,86989,0.705
86.53,83.522,0,86989,0.855
88.346,83.683,0,86989,1.04
84.179,81.47,0.003,65288,0.65
82.214,80.262,,69107,
80.62,76.405,0.169,95086,0.315
83.694,74.868,0.206,41720,0.44
85.647,78.097,0,81250,0.635
86.415,80.689,0,65139,0.72
87.512,80.215,0,77386,0.78
87.44,81.941,0,80208,0.82
82.869,80.485,0.055,106976,1.16
84.867,80.206,0.003,91771,
82.902,79.892,0,62407,0.81
84.268,79.502,0.016,69107,0.64
83.415,74.289,0.215,100813,0.365
83.401,75.106,0.173,76354,0.27
82.761,74.785,0.308,231250,0.38
81.495,74.784,0.172,123182,0.31
87.202,79.35,0.01,88393,0.51
83.572,77.794,0.246,86761,
79.354,75.528,0.164,69246,0.4
82.23,75.481,0.649,178438,
85.125,78.719,0.046,69107,0.29
87.026,82.583,,84167,
85.563,80.854,0.002,70846,1.595
83.845,78.368,0.035,66250,0.58
85.086,80.541,0,73438,
84.364,81.178,0.039,84015,4.195
82.887,80.342,0.02,106976,1.05
85.673,82.373,0,62167,0.9
81.609,79.695,,74186,
87.124,83.024,,108672,
87.7,82.901,0,82569,0.28
87.88,83.157,0,108672,0.66
88.029,83.383,0,65714,0.98
86.572,82.881,0,51650,
87.647,82.661,0,78594,0.92
83.993,80.822,0,47722,1.44
86.134,80.725,0.006,65655,0.46
87.102,79.222,0,60227,0.645
88.865,80.367,0,69574,0.68
88.863,81.814,0,87941,0.6
88.548,80.238,0.003,87941,0.71
89.242,80.587,0,69574,0.63
87.619,81.344,0.004,78667,0.49
88.378,81.337,0,74722,0.61
88.615,78.299,0,86287,0.63
88.662,81.329,0,67841,0.44
86.315,79.912,0.008,67115,0.405
85.019,79.552,0.024,76693,0.39
85.616,79.566,0,84219,0.57
85.279,78.575,0,84219,0.66
84.787,77.889,0.004,63625,0.65
80.318,74.914,0.004,63625,0.61
84.197,78.19,0,102672,0.84
84.048,77.605,0,84219,0.3
85.406,78.596,0,102672,0.49
83.606,80.037,0,100339,
84.716,81.281,,65889,
83.674,77.787,,103398,
81.87,76.28,0.007,66815,0.58
